ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field DisplayName=\"Client_ID\" EnforceUniqueValues=\"TRUE\" Format=\"Dropdown\" Indexed=\"TRUE\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Client_ID\" Required=\"TRUE\" Title=\"Client_ID\" Type=\"Text\" ID=\"{f9d5c518-be03-4c66-be88-2fcf5f7424ce}\" StaticName=\"Client_ID\" />","<Field Type=\"Number\" Name=\"CliLeadTimeWeeks\" StaticName=\"CliLeadTimeWeeks\" DisplayName=\"Lead Time (weeks)\" Group=\"Client Sync\" Required=\"FALSE\" Decimals=\"0\" ID=\"{08ebaf5c-e7c5-44d7-be76-02356b0692b4}\" />","<Field Type=\"Text\" Name=\"CliDelai\" StaticName=\"CliDelai\" DisplayName=\"Delai\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{0b630252-a598-446e-bb43-5984d573614e}\" />","<Field Type=\"Text\" Name=\"CliCriticalPart1\" StaticName=\"CliCriticalPart1\" DisplayName=\"Critical Part 1\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{fa6d0de7-b3db-42d0-bf17-5d74b149e846}\" />","<Field Type=\"Text\" Name=\"CliSupplier1\" StaticName=\"CliSupplier1\" DisplayName=\"Supplier 1\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{e29512db-fb82-47ae-b7a2-bdbf6a2fe294}\" />","<Field Type=\"Text\" Name=\"CliCriticalPart2\" StaticName=\"CliCriticalPart2\" DisplayName=\"Critical Part 2\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{59202709-d41e-4d9a-9c86-17599a3e9f3c}\" />","<Field Type=\"Text\" Name=\"CliSupplier2\" StaticName=\"CliSupplier2\" DisplayName=\"Supplier 2\" Group=\"Client Sync\" Required=\"FALSE\" ID=\"{1c03348b-96f6-4d77-938d-3494c5dec591}\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Client\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Client_ID","Client","Lead Time (weeks)","Delai","Supplier 1","Critical Part 1","Supplier 2","Critical Part 2","Modified","Created","Created By","Modified By"
"GTWO","G.T. WOOD",,,,,,,"2025-09-08T21:18:24Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"GEPO","GEORGIA POWER","18","18 SEM","Trantech","Radiateurs en SS","Quality Switch","Network Switch","2026-09-10T21:30:32Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"GUIL","GUILLEVIN",,,,,,,"2025-09-08T21:18:43Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"HIVO","HIGH VOLTAGE POWER",,,,,,,"2025-09-08T21:18:52Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"HITA","HITACHI",,,,,,,"2025-09-08T21:18:59Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"OTHY","OTTAWA HYDRO","18","18 SEM","Trantech","Radiateurs",,,"2026-09-10T21:30:33Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"IDSU","IDEAL SUPPLY",,,,,,,"2025-09-08T21:19:27Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"IMOI","IMPERIAL OIL",,,,,,,"2025-09-08T21:19:36Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"INPI","INTER PIPELINE",,,,,,,"2025-09-08T21:19:45Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"KICI","KINGWORTH CIVIL",,,,,,,"2025-09-08T21:19:52Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"KORT","KORTICK","16","16 sem","Groupe Exel Inter.","Flexible Connector","Quality Switch","Network Switch","2026-09-10T21:30:32Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"LANG","LANGTREE",,,,,,,"2025-09-08T21:20:15Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"LGEN","LG§E","20","20 SEM","Richards Manuf.","Gauges","Quality Switch","Network Switch","2026-09-10T21:30:33Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"LISA","LIZCO SALES",,,,,,,"2026-04-23T19:55:11Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MAGA","MADISON GAS § ELECTRIC","16","16 SEM","Groupe Exel Inter.","Flexible Connector","Quality Switch","Network Switch","2026-09-10T21:30:34Z","2025-09-03T16:49:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MAEL","MAGNA ELECTRIC",,,,,,,"2025-09-08T21:21:25Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MELG","MEMPHIS LG§WATER ",,,,,,,"2025-09-08T21:21:37Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MILL","MILLTRON",,,,,,,"2025-09-08T21:21:47Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MULT","MULTITECH",,,,,,,"2026-04-23T20:03:42Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"NAEL","NASHVILLE ELECTRIC","20","20 SEM","Richards Manuf.","Gauges","Quality Switch","Network Switch","2026-09-10T21:30:33Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"NAGR","NATIONAL GRID",,,,,,,"2025-09-08T21:22:07Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"NEDC","NEDCO",,,,,,,"2025-09-08T21:22:17Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"NORI","NORTH RIVER MIDSTREAM ",,,,,,,"2025-09-08T21:22:26Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"NOIN","NORTHERN INDIANA",,,,,,,"2025-09-08T21:22:36Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"NUVI","NUVISTA ",,,,,,,"2025-09-08T21:22:43Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"OAHY","OAKVILLE HYDRO",,,,,,,"2025-09-08T21:22:56Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PBW","PBW",,,,,,,"2025-09-08T21:23:58Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PEMB","PEMBINA ",,,,,,,"2025-09-08T21:25:07Z","2025-09-03T16:49:01Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PEEN","PENN ENERGY RENEWABLES",,,,,,,"2025-09-08T21:25:15Z","2025-09-03T16:49:03Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PIRE","PINNACLE RENEWABLE ENERGY",,,,,,,"2025-09-08T21:25:48Z","2025-09-03T16:49:03Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PLGR","PLAN GROUP ",,,,,,,"2025-09-08T21:25:56Z","2025-09-03T16:49:03Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"POMT","PORT DE MTL",,,,,,,"2025-09-08T21:26:04Z","2025-09-03T16:49:03Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"POPL","POWER PLUS CONTROL ",,,,,,,"2025-09-08T21:26:13Z","2025-09-03T16:49:03Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"POSY","POWER SYSTEM SOLUTIONS",,,,,,,"2025-09-08T21:26:20Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"POWE","POWERTECK",,,,,,,"2025-09-08T21:26:27Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"POEL","PROVINCE ELECTRIC",,,,,,,"2025-09-08T21:26:35Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PSEG","PSE§G ","20","20 SEM","HJ International","LV Bushing (welded)","Quality Switch","Network Switch","2026-09-10T21:30:34Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ROBE","ROBERTSON",,,,,,,"2025-09-08T21:26:52Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"REDE","RED DEER","18","18 SEM","Trantech","Radiateurs en SS",,,"2026-09-10T21:30:34Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"SIEN","SIEMENS ENERGY",,,,,,,"2026-04-23T20:00:51Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"STEL","STELCO",,,,,,,"2025-09-08T21:27:13Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"SMLO","SMITH § LONG",,,,,,,"2025-09-08T21:27:20Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"TEPO","TEAM POWER SOLUTIONS ",,,,,,,"2025-09-08T21:27:28Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"TECH","TECHLINE",,,,,,,"2025-09-08T21:27:34Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"TECO","TECHNO CONTACT",,,,,,,"2026-04-23T20:03:14Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"TOHY","TORONTO HYDRO","20","20 SEM","Richards Manuf.","Gauges","Quality Switch","Network Switch","2026-09-10T21:30:33Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"WESC","WESCO",,,,,,,"2026-04-24T04:24:07Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"WECA","WESTBURN CAMBRIDGE",,,,,,,"2025-09-08T21:28:05Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"WIHI","WILSON HIGH VOLTAGE",,,,,,,"2025-09-08T21:28:39Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"WORL","WORLEY",,,,,,,"2025-09-08T21:28:48Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"XCEN","XCEL ENERGY NORTHERN","20","20 SEM","HJ International","LV Bushing (welded)","Quality Switch","Network Switch","2026-09-10T21:30:34Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"PITR","PIONEER TRANSFORMERS",,,,,,,"2025-09-08T21:29:09Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CENO","CENOVUS",,,,,,,"2025-09-08T21:29:17Z","2025-09-03T16:49:04Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"FIEN","FIRST ENERGY","18","18 SEM","Trantech","Radiateurs ","PTS Elect.","Porte Fusible SM-5S","2026-09-10T21:30:35Z","2026-04-23T20:06:38Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"LITE","LTL (LINEMAN'S TESTING LAB)",,,,,,,"2026-04-23T20:06:38Z","2026-04-23T20:06:38Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CPEN","CPS ENERGY",,,,,,,"2026-04-23T20:06:38Z","2026-04-23T20:06:38Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ENTE","ENTERGY",,,,,,,"2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"SCTE","SC TECHNICAL SERVICES LTD",,,,,,,"2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CAIN","CAPSTONE INFRASTRUCTURE",,,,,,,"2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"CRSC","CRSC",,,,,,,"2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"GOSO","GOLDEN SOUTH WIND",,,,,,,"2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"UNUT","UNITED UTILITY SUPPLY",,,,,,,"2026-04-23T20:06:40Z","2026-04-23T20:06:40Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"KEEL","KENTUCKY ELECTRIC",,,,,,,"2026-04-23T20:06:40Z","2026-04-23T20:06:40Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MEEN","MEG Energy",,,,,,,"2026-05-04T07:43:00Z","2026-05-04T07:43:00Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ATCO","ATCO",,,,,,,"2026-05-05T14:16:02Z","2026-05-05T14:15:51Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"RIED","Rising Edge Group",,,,,,,"2026-05-05T14:16:45Z","2026-05-05T14:16:26Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"ELPA","EL PASO ELECTRIC",,,,,,,"2026-05-11T15:13:24Z","2026-05-11T15:13:24Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"HYQU","HYDRO QUEBEC","28","28 SEM",,"Various",,,"2026-09-10T21:30:34Z","2026-05-12T15:35:13Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"KBAU","KBS Austin",,,,,,,"2026-06-02T15:02:38Z","2026-06-02T15:02:30Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"test","test",,,,,,,"2026-06-08T16:28:15Z","2026-06-08T16:28:15Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"EPBC","ELECTRIC POWER BOARD",,,,,,,"2026-06-08T17:11:53Z","2026-06-08T17:11:53Z","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
"6192","ERMCO",,,,,,,"2026-06-25T14:09:46Z","2026-06-25T14:09:46Z","patrick.vaillancourt@pioneertransformers.com","patrick.vaillancourt@pioneertransformers.com"
"EXEL","EXELON",,,,,,,"2026-07-01T16:55:27Z","2026-07-01T16:55:27Z","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
"TRIV","TRIVOLT",,,,,,,"2026-07-22T15:50:39Z","2026-07-22T15:50:39Z","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
"CONE","CONED","24","24 SEM","United Inst.","Gauges","ABB","Bushings","2026-09-10T21:30:35Z","2026-08-05T17:15:55Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"TATI","test2",,,,,,,"2026-08-08T04:01:32Z","2026-08-08T04:01:32Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"tato","test3",,,,,,,"2026-08-08T04:05:42Z","2026-08-08T04:05:42Z","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"MADD","MADDOX",,,,,,,"2026-09-03T17:19:55Z","2026-09-03T17:19:55Z","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
