"list","displayName","internalName","type","lookupList","lookupShowField","multiValue","choices","formula","hidden","readOnly","required","indexed","restField","csvColumn","idColumn","fillRate","isKey","syncedFromList","syncedFromField","syncedByFlow","viaLookup","readAs","notes"
"Clients","ID","ID","other","","","","","","False","True","False","False","ID","","","","False","","","","","",""
"Clients","Item Child Count","ItemChildCount","lookup","","ItemChildCount","False","","","False","True","False","False","ItemChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ItemChildCountId; display value via FieldValuesAsText, or this mirror's ItemChildCount column."
"Clients","Client","LinkTitle","other","","","","","","False","True","False","False","LinkTitle","","","","False","","","","","",""
"Clients","Title","LinkTitleNoMenu","other","","","","","","False","True","False","False","LinkTitleNoMenu","","","","False","","","","","",""
"Clients","Modified","Modified","dateTime (dateTime)","","","","","","False","True","False","False","Modified","Modified","","1","False","","","","","",""
"Clients","Title","Title","text","","","","","","False","False","False","False","Title","Title","","1","True","","","","","","Identifies a row: 100% filled and unique (the list's own key is always Id)."
"Clients","Color Tag","_ColorTag","text","","","","","","False","True","False","False","_ColorTag","","","","False","","","","","",""
"Clients","Label setting","_ComplianceFlags","lookup","","ComplianceFlags","False","","","False","True","False","False","_ComplianceFlagsId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceFlagsId; display value via FieldValuesAsText, or this mirror's _ComplianceFlags column."
"Clients","Retention label","_ComplianceTag","lookup","","ComplianceTag","False","","","False","True","False","False","_ComplianceTagId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagId; display value via FieldValuesAsText, or this mirror's _ComplianceTag column."
"Clients","Label applied by","_ComplianceTagUserId","lookup","","ComplianceTagUserId","False","","","False","True","False","False","_ComplianceTagUserIdId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagUserIdId; display value via FieldValuesAsText, or this mirror's _ComplianceTagUserId column."
"Clients","Retention label Applied","_ComplianceTagWrittenTime","lookup","","ComplianceTagWrittenTime","False","","","False","True","False","False","_ComplianceTagWrittenTimeId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagWrittenTimeId; display value via FieldValuesAsText, or this mirror's _ComplianceTagWrittenTime column."
"Clients","Item is a Record","_IsRecord","other","","","","","","False","True","False","False","_IsRecord","","","","False","","","","","",""
"Clients","Version","_UIVersionString","text","","","","","","False","True","False","False","_UIVersionString","","","","False","","","","","",""
"Index","App Created By","AppAuthor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppAuthorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppAuthorId; display value via FieldValuesAsText, or this mirror's AppAuthor column."
"Index","App Modified By","AppEditor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppEditorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppEditorId; display value via FieldValuesAsText, or this mirror's AppEditor column."
"Index","Attachments","Attachments","other","","","","","","False","False","False","False","Attachments","Attachments","","1","False","","","","","",""
"Index","Created By","Author","personOrGroup","","","","","","False","True","False","False","AuthorId","AuthorId","AuthorId","1","False","","","","","",""
"Index","Compliance Asset Id","ComplianceAssetId","text","","","","","","False","True","False","False","ComplianceAssetId","","","","False","","","","","",""
"Index","Content Type","ContentType","other","","","","","","False","False","False","False","ContentType","","","","False","","","","","",""
"Index","Created","Created","dateTime (dateTime)","","","","","","False","True","False","False","Created","Created","","1","False","","","","","",""
"Index","Type","DocIcon","other","","","","","","False","True","False","False","DocIcon","","","","False","","","","","",""
"Index","Edit","Edit","other","","","","","","False","True","False","False","Edit","","","","False","","","","","",""
"Index","Modified By","Editor","personOrGroup","","","","","","False","True","False","False","EditorId","EditorId","EditorId","1","False","","","","","",""
"Index","Folder Child Count","FolderChildCount","lookup","","FolderChildCount","False","","","False","True","False","False","FolderChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives FolderChildCountId; display value via FieldValuesAsText, or this mirror's FolderChildCount column."
"Index","ID","ID","other","","","","","","False","True","False","False","ID","","","","False","","","","","",""
"Index","Item Child Count","ItemChildCount","lookup","","ItemChildCount","False","","","False","True","False","False","ItemChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ItemChildCountId; display value via FieldValuesAsText, or this mirror's ItemChildCount column."
"Index","Title","LinkTitle","other","","","","","","False","True","False","False","LinkTitle","","","","False","","","","","",""
"Index","Title","LinkTitleNoMenu","other","","","","","","False","True","False","False","LinkTitleNoMenu","","","","False","","","","","",""
"Index","Modified","Modified","dateTime (dateTime)","","","","","","False","True","False","False","Modified","Modified","","1","False","","","","","",""
"Index","Path","Path","other","","","","","","False","False","False","False","Path","Path","","1","False","","","","","",""
"Index","Title","Title","text","","","","","","False","False","False","False","Title","Title","","1","True","","","","","","Identifies a row: 100% filled and unique (the list's own key is always Id)."
"Index","Color Tag","_ColorTag","text","","","","","","False","True","False","False","_ColorTag","","","","False","","","","","",""
"Index","Label setting","_ComplianceFlags","lookup","","ComplianceFlags","False","","","False","True","False","False","_ComplianceFlagsId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceFlagsId; display value via FieldValuesAsText, or this mirror's _ComplianceFlags column."
"Index","Retention label","_ComplianceTag","lookup","","ComplianceTag","False","","","False","True","False","False","_ComplianceTagId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagId; display value via FieldValuesAsText, or this mirror's _ComplianceTag column."
"Index","Label applied by","_ComplianceTagUserId","lookup","","ComplianceTagUserId","False","","","False","True","False","False","_ComplianceTagUserIdId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagUserIdId; display value via FieldValuesAsText, or this mirror's _ComplianceTagUserId column."
"Index","Retention label Applied","_ComplianceTagWrittenTime","lookup","","ComplianceTagWrittenTime","False","","","False","True","False","False","_ComplianceTagWrittenTimeId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagWrittenTimeId; display value via FieldValuesAsText, or this mirror's _ComplianceTagWrittenTime column."
"Index","Item is a Record","_IsRecord","other","","","","","","False","True","False","False","_IsRecord","","","","False","","","","","",""
"Index","Version","_UIVersionString","text","","","","","","False","True","False","False","_UIVersionString","","","","False","","","","","",""
"Model Revisions","App Created By","AppAuthor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppAuthorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppAuthorId; display value via FieldValuesAsText, or this mirror's AppAuthor column."
"Model Revisions","App Modified By","AppEditor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppEditorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppEditorId; display value via FieldValuesAsText, or this mirror's AppEditor column."
"Model Revisions","Attachments","Attachments","other","","","","","","False","False","False","False","Attachments","Attachments","","1","False","","","","","",""
"Model Revisions","Created_By","Author","personOrGroup","","","","","","False","True","False","False","AuthorId","AuthorId","AuthorId","1","False","","","","","",""
"Model Revisions","Cable","Cable","text","","","","","","False","False","False","False","Cable","Cable","","0.349","False","","","","","",""
"Model Revisions","Client","Client","lookup","Clients","Title","False","","","False","False","True","False","ClientId","ClientId","ClientId","1","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ClientId; display value via FieldValuesAsText, or this mirror's Client column."
"Model Revisions","Client_ID_TextField","Client_ID_TextFiel","text","","","","","","False","False","False","False","Client_ID_TextFiel","Client_ID_TextFiel","","0.98","False","","","","","",""
"Model Revisions","Compliance Asset Id","ComplianceAssetId","text","","","","","","False","True","False","False","ComplianceAssetId","","","","False","","","","","",""
"Model Revisions","Content Type","ContentType","other","","","","","","False","False","False","False","ContentType","","","","False","","","","","",""
"Model Revisions","Copper (LV)","Copper_x0028_LV_x0029_","text","","","","","","False","False","False","False","Copper_x0028_LV_x0029_","Copper_x0028_LV_x0029_","","0.643","False","","","","","",""
"Model Revisions","Core Type","Core_x0020_Type","choice","","","","None | Cogent | Amorphe | Annexe","","False","False","False","False","Core_x0020_Type","Core_x0020_Type","","0.271","False","","","","","",""
"Model Revisions","Created","Created","dateTime (dateTime)","","","","","","False","True","False","False","Created","Created","","1","False","","","","","",""
"Model Revisions","Model Description","Description","choice","","","","POWER-S | POWER-W | C2 | UNITIZED | FLAT FRONT | MALT | MALT + SA | ZIG-ZAG | ZIG-ZAG + SA | PARTS | SPAREPARTS | SUBSTATION | SUBST-STACK | SUBWAY | 1PH-VAULT | 3PH-VAULT | LTC","","False","False","False","False","Description","Description","","1","False","","","","","",""
"Model Revisions","Type","DocIcon","other","","","","","","False","True","False","False","DocIcon","","","","False","","","","","",""
"Model Revisions","Duplicate Order","DuplicateOrder","lookup","Order","Order_x0020_Number1","False","","","False","False","False","False","DuplicateOrderId","DuplicateOrderId","DuplicateOrderId","0","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives DuplicateOrderId; display value via FieldValuesAsText, or this mirror's DuplicateOrder column. EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Duplicate_Order_TextField","Duplicate_Order_TextField","text","","","","","","False","False","False","False","Duplicate_Order_TextField","Duplicate_Order_TextField","","0","False","","","","","","Mirror of a lookup; only as current as its last sync (x16). Never derive a fix from it. EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Edit","Edit","other","","","","","","False","True","False","False","Edit","","","","False","","","","","",""
"Model Revisions","Modified_By","Editor","personOrGroup","","","","","","False","True","False","False","EditorId","EditorId","EditorId","1","False","","","","","",""
"Model Revisions","Family","Family","choice","","","","A | B1 | B2 | C","","False","False","False","False","Family","Family","","0.172","False","","","","","",""
"Model Revisions","Folder Child Count","FolderChildCount","lookup","","FolderChildCount","False","","","False","True","False","False","FolderChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives FolderChildCountId; display value via FieldValuesAsText, or this mirror's FolderChildCount column."
"Model Revisions","Form","Form","text","","","","","","False","False","False","False","Form","Form","","0.658","False","","","","","",""
"Model Revisions","ID","ID","other","","","","","","False","True","False","False","ID","","","","False","","","","","",""
"Model Revisions","Item Child Count","ItemChildCount","lookup","","ItemChildCount","False","","","False","True","False","False","ItemChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ItemChildCountId; display value via FieldValuesAsText, or this mirror's ItemChildCount column."
"Model Revisions","JS #","JS_x0020__x0023_","text","","","","","","False","False","False","False","JS_x0020__x0023_","JS_x0020__x0023_","","0.686","False","","","","","",""
"Model Revisions","Title","LinkTitle","other","","","","","","False","True","False","False","LinkTitle","","","","False","","","","","",""
"Model Revisions","Title","LinkTitleNoMenu","other","","","","","","False","True","False","False","LinkTitleNoMenu","","","","False","","","","","",""
"Model Revisions","Pioneer Model Code","Model","lookup","Models","ModelID","False","","","False","False","False","False","ModelId","ModelId2","ModelId2","0.98","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ModelId; display value via FieldValuesAsText, or this mirror's Model column. The mirror CSV names this id column ModelId2 (Excel names are case-insensitive and ModelId collides with another column) - but REST and flows still call it ModelId."
"Model Revisions","Model_Revion_ID","ModelID","text","","","","","","False","False","False","True","ModelID","ModelID","","0.997","False","","","","","",""
"Model Revisions","Client_Model_Code","ModelName","text","","","","","","False","False","True","False","ModelName","ModelName","","1","False","","","","","",""
"Model Revisions","Model Type","Model_x0020_Type","choice","","","","None | 1PH PAD (MINIPAD) | 3PH PAD (PADMOUNT) | POLEMOUNT | SUBSTATION | NETWORK | 1PH SUBMERSIBLE | 3PH SUBMERSIBLE | GROUNDING TX","","False","False","False","False","Model_x0020_Type","Model_x0020_Type","","0.863","False","","","","","",""
"Model Revisions","Modified","Modified","dateTime (dateTime)","","","","","","False","True","False","False","Modified","Modified","","1","False","","","","","",""
"Model Revisions","Notes","Notes","text","","","","","","False","False","False","False","Notes","Notes","","0.003","False","","","","","",""
"Model Revisions","Oil Amount","OilAmount","number","","","","","","False","False","False","False","OilAmount","OilAmount","","0.699","False","","","","","",""
"Model Revisions","Oil Type","Oil_x0020_Type","choice","","","","None | A2 | B2 | BETA | FR3 | Inconnu | Luminol | Midel","","False","False","False","False","Oil_x0020_Type","Oil_x0020_Type","","0.691","False","","","","","",""
"Model Revisions","Overcoil","Overcoil","number","","","","","","False","False","False","False","Overcoil","Overcoil","","0.661","False","","","","","",""
"Model Revisions","Phases","Phases","number","","","","","","False","False","False","False","Phases","Phases","","0.782","False","","","","","",""
"Model Revisions","Pioneer_Model_Code_TextField","Pioneer_Model_Code_TextField","text","","","","","","False","False","False","False","Pioneer_Model_Code_TextField","Pioneer_Model_Code_TextField","","0.975","False","","","","","","Mirror of a lookup; only as current as its last sync (x16). Never derive a fix from it."
"Model Revisions","Primary Voltage","PrimaryVoltage","number","","","","","","False","False","False","False","PrimaryVoltage","PrimaryVoltage","","0","False","","","","","","EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Secondary Voltage","SecondaryVoltage","number","","","","","","False","False","False","False","SecondaryVoltage","SecondaryVoltage","","0","False","","","","","","EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Spec_ID","SpecID","text","","","","","","False","False","False","False","SpecID","SpecID","","0.544","False","","","","","",""
"Model Revisions","Spec_Date","Spec_Date","dateTime (dateOnly)","","","","","","False","False","False","False","Spec_Date","Spec_Date","","0","False","","","","","","Date-only: write a BARE yyyy-mm-dd. Stored as Eastern midnight, reads back ...T04:00Z/T05:00Z. A ...T00:00:00Z value is UTC midnight = the PREVIOUS day on this site (E7). EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Spec_Revision","Spec_Revision","text","","","","","","False","False","False","False","Spec_Revision","Spec_Revision","","0","False","","","","","","EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Title","Title","text","","","","","","False","False","False","False","Title","Title","","0","False","","","","","","EMPTY on every row (fillRate 0) - never look rows up by this column."
"Model Revisions","Wire (HV)","Wire_x0028_HV_x0029_","text","","","","","","False","False","False","False","Wire_x0028_HV_x0029_","Wire_x0028_HV_x0029_","","0.643","False","","","","","",""
"Model Revisions","Color Tag","_ColorTag","text","","","","","","False","True","False","False","_ColorTag","","","","False","","","","","",""
"Model Revisions","Label setting","_ComplianceFlags","lookup","","ComplianceFlags","False","","","False","True","False","False","_ComplianceFlagsId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceFlagsId; display value via FieldValuesAsText, or this mirror's _ComplianceFlags column."
"Model Revisions","Retention label","_ComplianceTag","lookup","","ComplianceTag","False","","","False","True","False","False","_ComplianceTagId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagId; display value via FieldValuesAsText, or this mirror's _ComplianceTag column."
"Model Revisions","Label applied by","_ComplianceTagUserId","lookup","","ComplianceTagUserId","False","","","False","True","False","False","_ComplianceTagUserIdId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagUserIdId; display value via FieldValuesAsText, or this mirror's _ComplianceTagUserId column."
"Model Revisions","Retention label Applied","_ComplianceTagWrittenTime","lookup","","ComplianceTagWrittenTime","False","","","False","True","False","False","_ComplianceTagWrittenTimeId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagWrittenTimeId; display value via FieldValuesAsText, or this mirror's _ComplianceTagWrittenTime column."
"Model Revisions","Item is a Record","_IsRecord","other","","","","","","False","True","False","False","_IsRecord","","","","False","","","","","",""
"Model Revisions","Version","_UIVersionString","text","","","","","","False","True","False","False","_UIVersionString","","","","False","","","","","",""
"Model Revisions","kVA","kVA_x0020_and_x0020_kV","number","","","","","","False","False","False","False","kVA_x0020_and_x0020_kV","kVA_x0020_and_x0020_kV","","0.992","False","","","","","",""
"Models","App Created By","AppAuthor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppAuthorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppAuthorId; display value via FieldValuesAsText, or this mirror's AppAuthor column."
"Models","App Modified By","AppEditor","lookup","AppPrincipals","Title","False","","","False","True","False","False","AppEditorId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives AppEditorId; display value via FieldValuesAsText, or this mirror's AppEditor column."
"Models","Attachments","Attachments","other","","","","","","False","False","False","False","Attachments","Attachments","","1","False","","","","","",""
"Models","Created_By","Author","personOrGroup","","","","","","False","True","False","False","AuthorId","AuthorId","AuthorId","1","False","","","","","",""
"Models","Cable","Cable","text","","","","","","False","False","False","False","Cable","Cable","","0.173","False","","","","","",""
"Models","Changes Due Date","Changes_x0020_Due_x0020_Date","dateTime (dateOnly)","","","","","","False","False","False","False","Changes_x0020_Due_x0020_Date","Changes_x0020_Due_x0020_Date","","0.32","False","","","","","","Date-only: write a BARE yyyy-mm-dd. Stored as Eastern midnight, reads back ...T04:00Z/T05:00Z. A ...T00:00:00Z value is UTC midnight = the PREVIOUS day on this site (E7)."
"Models","Client","Client","lookup","Clients","Title","False","","","False","False","True","False","ClientId","ClientId","ClientId","1","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ClientId; display value via FieldValuesAsText, or this mirror's Client column."
"Models","Client_ID_TextField","Client_ID_TextFiel","text","","","","","","False","False","False","False","Client_ID_TextFiel","Client_ID_TextFiel","","1","False","","","","","",""
"Models","Compliance Asset Id","ComplianceAssetId","text","","","","","","False","True","False","False","ComplianceAssetId","","","","False","","","","","",""
"Models","Configuration","Configuration","text","","","","","","False","False","False","False","Configuration","Configuration","","0.112","False","","","","","",""
"Models","Content Type","ContentType","other","","","","","","False","False","False","False","ContentType","","","","False","","","","","",""
"Models","Copper (LV)","Copper_x0028_LV_x0029_","text","","","","","","False","False","False","False","Copper_x0028_LV_x0029_","Copper_x0028_LV_x0029_","","0.452","False","","","","","",""
"Models","Core Type","Core_x0020_Type","choice","","","","None | Cogent | Amorphe | Annexe","","False","False","False","False","Core_x0020_Type","Core_x0020_Type","","0.734","False","","","","","",""
"Models","Created","Created","dateTime (dateTime)","","","","","","False","True","False","False","Created","Created","","1","False","","","","","",""
"Models","Current Changes Priority","Current_x0020_Changes_x0020_Prio","choice","","","","ASAP | Next Month | Next Order | Set Date","","False","False","False","False","Current_x0020_Changes_x0020_Prio","Current_x0020_Changes_x0020_Prio","","0.698","False","","","","","",""
"Models","Description","Description","choice","","","","ANNEX | FLAT FRONT | Goujon | MALT | MALT + SA | MINPAD-1HP | NETWORK | PADMOUNT | PARTS | PLAQUE ANCRAGE | SPAREPARTS | SUBSTATION | SUBSTATION + LTC | SUBST-STACK | SUBWAY | VAULT1-HP","","False","False","False","False","Description","Description","","0.751","False","","","","","",""
"Models","Type","DocIcon","other","","","","","","False","True","False","False","DocIcon","","","","False","","","","","",""
"Models","Edit","Edit","other","","","","","","False","True","False","False","Edit","","","","False","","","","","",""
"Models","Modified_By","Editor","personOrGroup","","","","","","False","True","False","False","EditorId","EditorId","EditorId","1","False","","","","","",""
"Models","Estimated Effort","Estimated_x0020_Effort","number","","","","","","False","False","False","False","Estimated_x0020_Effort","Estimated_x0020_Effort","","0.756","False","","","","","",""
"Models","Folder Child Count","FolderChildCount","lookup","","FolderChildCount","False","","","False","True","False","False","FolderChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives FolderChildCountId; display value via FieldValuesAsText, or this mirror's FolderChildCount column."
"Models","Form","Form","text","","","","","","False","False","False","False","Form","Form","","0.457","False","","","","","",""
"Models","ID","ID","other","","","","","","False","True","False","False","ID","","","","False","","","","","",""
"Models","Info+","Info_x002b_","text","","","","","","False","False","False","False","Info_x002b_","Info_x002b_","","0.074","False","","","","","",""
"Models","Is Cancelled","Is_x0020_Cancelled","boolean","","","","","","False","False","False","False","Is_x0020_Cancelled","Is_x0020_Cancelled","","0.183","False","","","","","","Yes/No: never-set = NULL over REST; a CSV export prints NULL as False (E6)."
"Models","Item Child Count","ItemChildCount","lookup","","ItemChildCount","False","","","False","True","False","False","ItemChildCountId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ItemChildCountId; display value via FieldValuesAsText, or this mirror's ItemChildCount column."
"Models","JS #","JS_x0020__x0023_","text","","","","","","False","False","False","False","JS_x0020__x0023_","JS_x0020__x0023_","","0.716","False","","","","","",""
"Models","Latest_Model_Revision_TextField","Latest_Model_Revision_TextField","text","","","","","","False","False","False","False","Latest_Model_Revision_TextField","Latest_Model_Revision_TextField","","0.99","False","","","","","","Mirror of a lookup; only as current as its last sync (x16). Never derive a fix from it."
"Models","Title","LinkTitle","other","","","","","","False","True","False","False","LinkTitle","","","","False","","","","","",""
"Models","Title","LinkTitleNoMenu","other","","","","","","False","True","False","False","LinkTitleNoMenu","","","","False","","","","","",""
"Models","Model_ID","ModelID","text","","","","","","False","False","False","True","ModelID","ModelID","","1","True","","","","","","Identifies a row: 100% filled and unique (the list's own key is always Id)."
"Models","Model_Code","ModelName","text","","","","","","False","False","False","False","ModelName","ModelName","","1","False","","","","","",""
"Models","Latest Model Revision","ModelRevision","lookup","Model Revisions","ModelID","False","","","False","False","False","False","ModelRevisionId","ModelRevisionId","ModelRevisionId","1","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ModelRevisionId; display value via FieldValuesAsText, or this mirror's ModelRevision column."
"Models","Model Type","Model_x0020_Type","choice","","","","None | 1PH PAD (MINIPAD) | 3PH PAD (PADMOUNT) | POLEMOUNT | SUBSTATION | NETWORK | 1PH SUBMERSIBLE | 3PH SUBMERSIBLE | GROUNDING TX | ANNEX | C2 | FLATFACE | MALT | MINPAD | NETWORK | PADMOUNT | POLEMOUNT | POWER-LTC | POWER-S | POWER-W | SPECIAL | SUBMERSIBLE | UNITIZED | ZIG-ZAG | ZIG-ZAG + SA","","False","False","False","False","Model_x0020_Type","Model_x0020_Type","","1","False","","","","","",""
"Models","Modification_Status","ModificationStatus","choice","","","","Up to Date | Minor Changes | Moderate Changes | Major Changes | New Model","","False","False","False","False","ModificationStatus","ModificationStatus","","0.751","False","","","","","",""
"Models","Modified","Modified","dateTime (dateTime)","","","","","","False","True","False","False","Modified","Modified","","1","False","","","","","",""
"Models","Notes","Notes","text","","","","","","False","False","False","False","Notes","Notes","","0.013","False","","","","","",""
"Models","Oil Amount","OilAmount","number","","","","","","False","False","False","False","OilAmount","OilAmount","","0.548","False","","","","","",""
"Models","Oil Type","Oil_x0020_Type","choice","","","","None | A2 | B2 | BETA | FR3 | Inconnu | Luminol | Midel","","False","False","False","False","Oil_x0020_Type","Oil_x0020_Type","","0.858","False","","","","","",""
"Models","Overcoil","Overcoil","number","","","","","","False","False","False","False","Overcoil","Overcoil","","0.452","False","","","","","",""
"Models","Parent Model","ParentModel","lookup","Models","ModelName","False","","","False","False","False","False","ParentModelId","ParentModelId","ParentModelId","0.038","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives ParentModelId; display value via FieldValuesAsText, or this mirror's ParentModel column."
"Models","Parent_Model_TextField","Parent_Model_TextField","text","","","","","","False","False","False","False","Parent_Model_TextField","Parent_Model_TextField","","0.038","False","","","","","","Mirror of a lookup; only as current as its last sync (x16). Never derive a fix from it."
"Models","Phases","Phases","number","","","","","","False","False","False","False","Phases","Phases","","0.602","False","","","","","",""
"Models","Protector & Switchgear Item #","ProtectorSwitchgearItem_x0023_","text","","","","","","False","False","False","False","ProtectorSwitchgearItem_x0023_","ProtectorSwitchgearItem_x0023_","","0","False","","","","","","EMPTY on every row (fillRate 0) - never look rows up by this column."
"Models","SA Model","SAModel","boolean","","","","","","False","False","False","False","SAModel","SAModel","","0.066","False","","","","","","Yes/No: never-set = NULL over REST; a CSV export prints NULL as False (E6)."
"Models","SFRA","SFRA","text","","","","","","False","False","False","False","SFRA","SFRA","","0.013","False","","","","","",""
"Models","Section Qty","SectionQty","text","","","","","","False","False","False","False","SectionQty","SectionQty","","0.056","False","","","","","",""
"Models","Spec_ID","SpecID","text","","","","","","False","False","False","False","SpecID","SpecID","","0.548","False","","","","","",""
"Models","Title","Title","text","","","","","","False","False","False","False","Title","Title","","0.003","False","","","","","",""
"Models","Wire (HV)","Wire_x0028_HV_x0029_","text","","","","","","False","False","False","False","Wire_x0028_HV_x0029_","Wire_x0028_HV_x0029_","","0.452","False","","","","","",""
"Models","Color Tag","_ColorTag","text","","","","","","False","True","False","False","_ColorTag","","","","False","","","","","",""
"Models","Label setting","_ComplianceFlags","lookup","","ComplianceFlags","False","","","False","True","False","False","_ComplianceFlagsId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceFlagsId; display value via FieldValuesAsText, or this mirror's _ComplianceFlags column."
"Models","Retention label","_ComplianceTag","lookup","","ComplianceTag","False","","","False","True","False","False","_ComplianceTagId","","","","False","","","","","","Absent from CSV exports and from a plain REST item read. REST gives _ComplianceTagId; display value via FieldValuesAsText, or this mirror's _ComplianceTag column."
