"Id","Title","OData__ColorTag","Client_ID","CliLeadTimeWeeks","CliDelai","CliCriticalPart1","CliSupplier1","CliCriticalPart2","CliSupplier2","Modified","Created","AuthorId","EditorId","Attachments","GUID","Author_Email","Editor_Email"
"11","CAPLINK ","","CAPL","","","","","","","2025-09-08T21:16:44Z","2025-09-03T16:48:59Z","106","106","False","634680ef-2b2b-496d-8b93-c4e8e48d7e27","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"12","CARROLL TRANSFORMERS","","CATR","","","","","","","2025-09-08T21:16:54Z","2025-09-03T16:48:59Z","106","106","False","882b0fc1-8544-4e42-bf01-0126ee3dc6e4","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"13","CONSUMERS ENERGY","","COEN","","","","","","","2025-09-08T21:17:06Z","2025-09-03T16:48:59Z","106","106","False","e6d07136-83bd-48ba-a4f6-7e9f6bce36ac","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"14","CYPRESS MOUNTAIN ","","CYMO","","","","","","","2025-09-08T21:17:14Z","2025-09-03T16:48:59Z","106","106","False","d6d96664-ad9b-456b-9be3-0504dba78d6e","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"15","DALTCO ELECTRIC","","DAEL","","","","","","","2025-09-08T21:17:22Z","2025-09-03T16:48:59Z","106","106","False","196b5a7c-0001-400c-a334-0175fa1f0177","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"16","ELECTEK POWER ","","ELPO","","","","","","","2025-09-08T21:17:29Z","2025-09-03T16:48:59Z","106","106","False","79de9d70-c654-4dcc-91db-1f0029bcaa91","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"17","ENBRIDGE","","ENBR","","","","","","","2025-09-08T21:17:39Z","2025-09-03T16:48:59Z","106","106","False","c0471f99-f2e6-4bcf-8394-5956ecd27d17","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"18","ENMAX","","ENMA","20","20 SEM","Network Protector","Richards Manuf.","Radiateurs en SS","Trantech","2026-09-10T21:30:34Z","2025-09-03T16:48:59Z","106","106","False","cf0187e6-21ac-4c15-b790-f1644217f87b","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"19","EPCOR","","EPCO","18","18 SEM","Radiateurs en SS","Trantech","Flexible Connector","Groupe Exel Inter.","2026-09-10T21:30:32Z","2025-09-03T16:49:00Z","106","106","False","f592f9fd-309e-4196-bf51-dc3386745fd2","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"20","EVERSOURCE","","EVER","","","","","","","2025-09-08T21:18:01Z","2025-09-03T16:49:00Z","106","106","False","3345bcb1-1beb-4b8b-b337-3e4c6553ebe1","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"21","FORTIS","","FORT","","","","","","","2025-09-08T21:18:11Z","2025-09-03T16:49:00Z","106","106","False","610d3f0c-6d03-410f-8101-7f4f0f391349","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"22","G.T. WOOD","","GTWO","","","","","","","2025-09-08T21:18:24Z","2025-09-03T16:49:00Z","106","106","False","22158835-ce38-4991-9e6f-4346e5a58141","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"23","GEORGIA POWER","","GEPO","18","18 SEM","Radiateurs en SS","Trantech","Network Switch","Quality Switch","2026-09-10T21:30:32Z","2025-09-03T16:49:00Z","106","106","False","8b1d7c7d-f475-44d0-8767-664abe2e7528","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"24","GUILLEVIN","","GUIL","","","","","","","2025-09-08T21:18:43Z","2025-09-03T16:49:00Z","106","106","False","ba8202aa-8e22-4fa0-9054-437786c17e30","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"25","HIGH VOLTAGE POWER","","HIVO","","","","","","","2025-09-08T21:18:52Z","2025-09-03T16:49:00Z","106","106","False","b00989fe-f1d9-4ccf-9c32-2d3911f38585","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"26","HITACHI","","HITA","","","","","","","2025-09-08T21:18:59Z","2025-09-03T16:49:00Z","106","106","False","62b8f3ba-9ee1-4ec9-8e41-e485ac67dc99","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"27","OTTAWA HYDRO","","OTHY","18","18 SEM","Radiateurs","Trantech","","","2026-09-10T21:30:33Z","2025-09-03T16:49:00Z","106","106","False","ac5a7e89-9392-4ede-b846-329e1992d557","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"29","IDEAL SUPPLY","","IDSU","","","","","","","2025-09-08T21:19:27Z","2025-09-03T16:49:00Z","106","106","False","ce1b5c2f-480a-4797-b4d8-576b06efed6c","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"30","IMPERIAL OIL","","IMOI","","","","","","","2025-09-08T21:19:36Z","2025-09-03T16:49:00Z","106","106","False","339ddb68-4c4f-4308-baff-11af56be2176","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"31","INTER PIPELINE","","INPI","","","","","","","2025-09-08T21:19:45Z","2025-09-03T16:49:00Z","106","106","False","195d51fa-3f3a-4ee8-9af3-a166f7bc5f48","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"32","KINGWORTH CIVIL","","KICI","","","","","","","2025-09-08T21:19:52Z","2025-09-03T16:49:00Z","106","106","False","3a83af49-c7c3-4ad6-9c23-20892b4d5e9a","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"33","KORTICK","","KORT","16","16 sem","Flexible Connector","Groupe Exel Inter.","Network Switch","Quality Switch","2026-09-10T21:30:32Z","2025-09-03T16:49:00Z","106","106","False","eacd7d01-6f6c-4158-9378-44dfaebe1519","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"34","LANGTREE","","LANG","","","","","","","2025-09-08T21:20:15Z","2025-09-03T16:49:00Z","106","106","False","a9d44ddb-4a21-4dd7-b2be-2b4f7682ec87","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"35","LG§E","","LGEN","20","20 SEM","Gauges","Richards Manuf.","Network Switch","Quality Switch","2026-09-10T21:30:33Z","2025-09-03T16:49:00Z","106","106","False","2bf568c2-9cb2-437f-9d54-1bca1f712084","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"36","LIZCO SALES","","LISA","","","","","","","2026-04-23T19:55:11Z","2025-09-03T16:49:00Z","106","106","False","bc8841c2-833b-429f-b2d6-6a0329dedfe0","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"37","MADISON GAS § ELECTRIC","","MAGA","16","16 SEM","Flexible Connector","Groupe Exel Inter.","Network Switch","Quality Switch","2026-09-10T21:30:34Z","2025-09-03T16:49:00Z","106","106","False","71b5e7c8-ba5d-4090-a9c2-5f9034dc83ce","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"38","MAGNA ELECTRIC","","MAEL","","","","","","","2025-09-08T21:21:25Z","2025-09-03T16:49:01Z","106","106","False","37b9f6bf-00c7-49a9-9e5a-5dca67de14c8","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"39","MEMPHIS LG§WATER ","","MELG","","","","","","","2025-09-08T21:21:37Z","2025-09-03T16:49:01Z","106","106","False","02a4f423-1322-4599-9d76-8e50a1d06791","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"40","MILLTRON","","MILL","","","","","","","2025-09-08T21:21:47Z","2025-09-03T16:49:01Z","106","106","False","b70e9cf8-8ad7-4a28-9dbd-64ecdd1aba44","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"41","MULTITECH","","MULT","","","","","","","2026-04-23T20:03:42Z","2025-09-03T16:49:01Z","106","106","False","723b9f1b-9e56-472b-9510-43626c8c0d1e","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"42","NASHVILLE ELECTRIC","","NAEL","20","20 SEM","Gauges","Richards Manuf.","Network Switch","Quality Switch","2026-09-10T21:30:33Z","2025-09-03T16:49:01Z","106","106","False","e613c012-92e7-4155-9b7d-7143cd36dda5","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"43","NATIONAL GRID","","NAGR","","","","","","","2025-09-08T21:22:07Z","2025-09-03T16:49:01Z","106","106","False","90ac1ae1-a008-4795-a766-2be2d548ef54","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"44","NEDCO","","NEDC","","","","","","","2025-09-08T21:22:17Z","2025-09-03T16:49:01Z","106","106","False","ac0968ee-de9f-4014-9fe8-9469c5be5cd3","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"45","NORTH RIVER MIDSTREAM ","","NORI","","","","","","","2025-09-08T21:22:26Z","2025-09-03T16:49:01Z","106","106","False","fba95e23-17ab-4e90-9f1f-8365d262a4ec","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"46","NORTHERN INDIANA","","NOIN","","","","","","","2025-09-08T21:22:36Z","2025-09-03T16:49:01Z","106","106","False","c70650e2-12e1-4471-8b20-75be88407d0d","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"47","NUVISTA ","","NUVI","","","","","","","2025-09-08T21:22:43Z","2025-09-03T16:49:01Z","106","106","False","279505d8-a223-47a9-914b-42412f81eefc","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"48","OAKVILLE HYDRO","","OAHY","","","","","","","2025-09-08T21:22:56Z","2025-09-03T16:49:01Z","106","106","False","b849d6d4-f41b-49cb-a4b0-164f6647789c","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"49","PBW","","PBW","","","","","","","2025-09-08T21:23:58Z","2025-09-03T16:49:01Z","106","106","False","a1773d1b-7004-4785-93b7-0a1050507794","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"50","PEMBINA ","","PEMB","","","","","","","2025-09-08T21:25:07Z","2025-09-03T16:49:01Z","106","106","False","fe268c66-073a-4f4d-91bd-2ccbbf186ea4","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"51","PENN ENERGY RENEWABLES","","PEEN","","","","","","","2025-09-08T21:25:15Z","2025-09-03T16:49:03Z","106","106","False","e26399c6-fd70-41b9-8acd-82481038b79a","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"52","PINNACLE RENEWABLE ENERGY","","PIRE","","","","","","","2025-09-08T21:25:48Z","2025-09-03T16:49:03Z","106","106","False","cdc0ae59-a524-4fb4-a922-73c2238f479e","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"53","PLAN GROUP ","","PLGR","","","","","","","2025-09-08T21:25:56Z","2025-09-03T16:49:03Z","106","106","False","404fa7b2-453f-45cd-9e95-cf42ff6120a9","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"54","PORT DE MTL","","POMT","","","","","","","2025-09-08T21:26:04Z","2025-09-03T16:49:03Z","106","106","False","4c73bf1f-06b5-4b54-a450-39b17d00abe1","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"55","POWER PLUS CONTROL ","","POPL","","","","","","","2025-09-08T21:26:13Z","2025-09-03T16:49:03Z","106","106","False","17efcf83-0829-4483-9913-e62dbd61c7f1","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"56","POWER SYSTEM SOLUTIONS","","POSY","","","","","","","2025-09-08T21:26:20Z","2025-09-03T16:49:04Z","106","106","False","d2a37321-e594-4499-aff8-b04f7f13e364","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"57","POWERTECK","","POWE","","","","","","","2025-09-08T21:26:27Z","2025-09-03T16:49:04Z","106","106","False","975d6134-3dd5-4da7-9607-f1e6532962c4","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"58","PROVINCE ELECTRIC","","POEL","","","","","","","2025-09-08T21:26:35Z","2025-09-03T16:49:04Z","106","106","False","bbf1e8e3-f73f-46ad-b5e3-4d66b24cd439","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"59","PSE§G ","","PSEG","20","20 SEM","LV Bushing (welded)","HJ International","Network Switch","Quality Switch","2026-09-10T21:30:34Z","2025-09-03T16:49:04Z","106","106","False","b7e6eaf0-3a41-4f30-b514-6893f227e805","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"60","ROBERTSON","","ROBE","","","","","","","2025-09-08T21:26:52Z","2025-09-03T16:49:04Z","106","106","False","bd8cf3a0-3a03-4daf-b934-37b98e9f3b17","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"61","RED DEER","","REDE","18","18 SEM","Radiateurs en SS","Trantech","","test","2026-09-10T22:00:16Z","2025-09-03T16:49:04Z","106","106","False","fde3ba1b-595a-4863-ad89-c46f81160442","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"62","SIEMENS ENERGY","","SIEN","","","","","","","2026-04-23T20:00:51Z","2025-09-03T16:49:04Z","106","106","False","a914e0c8-e9bf-4d32-a3c3-277f9e13cb73","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"63","STELCO","","STEL","","","","","","","2025-09-08T21:27:13Z","2025-09-03T16:49:04Z","106","106","False","161b3297-7ae4-4dd8-a4fb-ddac445665de","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"64","SMITH § LONG","","SMLO","","","","","","","2025-09-08T21:27:20Z","2025-09-03T16:49:04Z","106","106","False","9d43bcfd-7a2f-43b3-8be9-ef383e8ff52a","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"65","TEAM POWER SOLUTIONS ","","TEPO","","","","","","","2025-09-08T21:27:28Z","2025-09-03T16:49:04Z","106","106","False","111b0d26-54fe-4e83-b83c-d2f4a726389a","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"66","TECHLINE","","TECH","","","","","","","2025-09-08T21:27:34Z","2025-09-03T16:49:04Z","106","106","False","7653b676-1038-4bb4-93df-7c383242028f","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"67","TECHNO CONTACT","","TECO","","","","","","","2026-04-23T20:03:14Z","2025-09-03T16:49:04Z","106","106","False","604b6286-6b90-494d-9db9-3358a80a63c9","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"68","TORONTO HYDRO","","TOHY","20","20 SEM","Gauges","Richards Manuf.","Network Switch","Quality Switch","2026-09-10T21:30:33Z","2025-09-03T16:49:04Z","106","106","False","778ec764-e463-4382-8429-61e1a2d01aaf","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"69","WESCO","","WESC","","","","","","","2026-04-24T04:24:07Z","2025-09-03T16:49:04Z","106","106","False","f7e4b93d-a16e-4039-b762-0e900e5c09e1","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"70","WESTBURN CAMBRIDGE","","WECA","","","","","","","2025-09-08T21:28:05Z","2025-09-03T16:49:04Z","106","106","False","dded0b52-2889-43e2-8b98-bab14ae677a1","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"71","WILSON HIGH VOLTAGE","","WIHI","","","","","","","2025-09-08T21:28:39Z","2025-09-03T16:49:04Z","106","106","False","cd567ded-04cc-47b7-a4df-994c6d657ab8","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"72","WORLEY","","WORL","","","","","","","2025-09-08T21:28:48Z","2025-09-03T16:49:04Z","106","106","False","7c29e81c-148c-4949-88d0-afd776e1fda3","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"73","XCEL ENERGY NORTHERN","","XCEN","20","20 SEM","LV Bushing (welded)","HJ International","Network Switch","Quality Switch","2026-09-10T21:30:34Z","2025-09-03T16:49:04Z","106","106","False","cc5cfad5-cbdc-4c1f-9543-543a76c1a946","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"74","PIONEER TRANSFORMERS","","PITR","","","","","","","2025-09-08T21:29:09Z","2025-09-03T16:49:04Z","106","106","False","c0775a8f-60f6-43fb-89c6-eba4e070727f","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"75","CENOVUS","","CENO","","","","","","","2025-09-08T21:29:17Z","2025-09-03T16:49:04Z","106","106","False","f1d88475-be2e-4588-ae18-4541e3c8c104","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"97","FIRST ENERGY","","FIEN","18","18 SEM","Radiateurs ","Trantech","Porte Fusible SM-5S","PTS Elect.","2026-09-10T21:30:35Z","2026-04-23T20:06:38Z","106","106","False","4f06649b-f813-485c-809d-a82b201af7d5","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"98","LTL (LINEMAN'S TESTING LAB)","","LITE","","","","","","","2026-04-23T20:06:38Z","2026-04-23T20:06:38Z","106","106","False","8c7a2ddb-2de6-4b5a-b97d-498919943092","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"99","CPS ENERGY","","CPEN","","","","","","","2026-04-23T20:06:38Z","2026-04-23T20:06:38Z","106","106","False","070646e2-fdb7-4fae-bf46-beab02577f87","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"100","ENTERGY","","ENTE","","","","","","","2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","106","106","False","3e9ddade-a504-4191-88ee-c2d4226c8ba5","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"101","SC TECHNICAL SERVICES LTD","","SCTE","","","","","","","2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","106","106","False","6c208f49-5a63-4df8-9914-b99139959f41","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"102","CAPSTONE INFRASTRUCTURE","","CAIN","","","","","","","2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","106","106","False","2a68b1f5-c136-4514-91ae-884f5cdda73d","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"103","CRSC","","CRSC","","","","","","","2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","106","106","False","9272e96a-1e3d-48cb-9599-dabe67bfcfad","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"104","GOLDEN SOUTH WIND","","GOSO","","","","","","","2026-04-23T20:06:39Z","2026-04-23T20:06:39Z","106","106","False","50a717d5-e433-43ea-b82b-fda83466175b","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"105","UNITED UTILITY SUPPLY","","UNUT","","","","","","","2026-04-23T20:06:40Z","2026-04-23T20:06:40Z","106","106","False","6a7d362d-d386-4ccf-8f07-0f89e9ae9a8f","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"106","KENTUCKY ELECTRIC","","KEEL","","","","","","","2026-04-23T20:06:40Z","2026-04-23T20:06:40Z","106","106","False","25800b8c-5371-4b05-9586-05e339228e94","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"107","MEG Energy","","MEEN","","","","","","","2026-05-04T07:43:00Z","2026-05-04T07:43:00Z","106","106","False","e7bc2d27-087c-4758-897c-20b3bf5b2ad8","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"108","ATCO","","ATCO","","","","","","","2026-05-05T14:16:02Z","2026-05-05T14:15:51Z","106","106","False","a15a6ee1-584e-4050-a18a-79fdf4d13374","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"109","Rising Edge Group","","RIED","","","","","","","2026-05-05T14:16:45Z","2026-05-05T14:16:26Z","106","106","False","be9de6ec-a869-45d9-96ad-2a0d66384e6a","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"110","EL PASO ELECTRIC","","ELPA","","","","","","","2026-05-11T15:13:24Z","2026-05-11T15:13:24Z","106","106","False","ed622ed1-8ffe-4685-8e10-6321a87c57df","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"115","HYDRO QUEBEC","","HYQU","28","28 SEM","Various","","","","2026-09-10T21:30:34Z","2026-05-12T15:35:13Z","106","106","False","eeb9cb74-8ead-429f-b4d5-ae558f8b6f3e","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"117","KBS Austin","","KBAU","","","","","","","2026-06-02T15:02:38Z","2026-06-02T15:02:30Z","106","106","False","1afbd07f-5846-426c-9c3a-83f8b9d86501","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"118","test","","test","","","","","","","2026-06-08T16:28:15Z","2026-06-08T16:28:15Z","106","106","False","629c0bf3-c499-43cf-9176-3ab5cab2ee19","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"119","ELECTRIC POWER BOARD","","EPBC","","","","","","","2026-06-08T17:11:53Z","2026-06-08T17:11:53Z","161","161","False","5e10af9b-83c2-4c96-9ce2-ee6e0fdad212","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
"120","ERMCO","","6192","","","","","","","2026-06-25T14:09:46Z","2026-06-25T14:09:46Z","155","155","False","52bca1c6-ce3b-4e1a-9601-1d367f8fb256","patrick.vaillancourt@pioneertransformers.com","patrick.vaillancourt@pioneertransformers.com"
"121","EXELON","","EXEL","","test","","","","","2026-09-10T22:19:51Z","2026-07-01T16:55:27Z","161","106","False","54bea435-0aa9-4cee-a9eb-59ee37c8da25","dominic.lague@pioneertransformers.com","soleil.anker@ermco-eci.com"
"122","TRIVOLT","","TRIV","","","","","","","2026-07-22T15:50:39Z","2026-07-22T15:50:39Z","161","161","False","f85bf763-4c8f-44f8-8a91-f724113aaa31","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
"123","CONED","","CONE","24","24 SEM","Gauges","United Inst.","Bushings","ABB","2026-09-10T21:30:35Z","2026-08-05T17:15:55Z","106","106","False","280bfeda-dd30-4c33-949a-078235aaf17c","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"124","test2","","TATI","","","","","","","2026-08-08T04:01:32Z","2026-08-08T04:01:32Z","106","106","False","8d10bbae-943f-4c8f-a042-ddb47e07e222","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"125","test3","","tato","","","","","","","2026-08-08T04:05:42Z","2026-08-08T04:05:42Z","106","106","False","27d41fc2-b463-44df-9637-6dfbc751c4bf","soleil.anker@ermco-eci.com","soleil.anker@ermco-eci.com"
"126","MADDOX","","MADD","","","","","","","2026-09-03T17:19:55Z","2026-09-03T17:19:55Z","161","161","False","f94fb245-9955-4bd9-ba9c-1ed2a77f498f","dominic.lague@pioneertransformers.com","dominic.lague@pioneertransformers.com"
